node_id,lat,lon,name,amenity
280741143,28.64725,77.194235,Axis Bank,bank
496457116,28.6175988,77.2497911,,fuel
496457118,28.6186155,77.2493074,Indraprastha Gas Limited,fuel
496457133,28.6403435,77.2446605,Samata Sthal,grave_yard
498724140,28.6488415,77.2480304,Shanti Van,memorial
611105438,28.6405551,77.2107627,MyBar,pub
616563684,28.6460886,77.2070915,,atm
786590787,28.6315203,77.2181565,,toilets
928491343,28.6416777,77.2052683,Delhi Heart and Lung Institute Super Speciality Hospital,hospital
928550280,28.6407045,77.2105994,Hotel Metropolis,restaurant
928558280,28.6350924,77.2196937,PVR Plaza Cinema,cinema
928558830,28.6328606,77.2212494,,parking
928558934,28.6324431,77.2212149,,parking
928559077,28.6318154,77.2207988,,parking
928559154,28.6315799,77.2204126,,parking
928559229,28.633774,77.2186316,,parking
928559360,28.6340848,77.2195757,,parking
928563257,28.6347064,77.2201014,Citibank,atm
928563678,28.6344827,77.2175372,HDFC,atm
928564493,28.6348946,77.2222257,Costa,cafe
928567979,28.635243,77.2196937,Piccadelhi,restaurant
938372453,28.6430829,77.2184068,,place_of_worship
938372509,28.6435317,77.2183331,,place_of_worship
938372530,28.6415528,77.2190934,Railway Club,club
938372588,28.6412362,77.2187312,New Delhi Station (Paharganj),bus_station
938409465,28.641256,77.2360463,Delight Cinema,cinema
938409723,28.6394116,77.2238694,Minto Road Bus Terminal,bus_station
943245926,28.6171973,77.203509,Kendriya Bus Terminal,bus_station
943245928,28.6162015,77.2100168,Parliament Visitor Parking,parking
943560039,28.6263032,77.2061926,,toilets
974361599,28.6411555,77.2108258,Imperial,cinema
990042572,28.6166339,77.2427321,Shakuntalam,theatre
1157202196,28.6428339,77.186576,Bon Temps Cafe,cafe
1184509690,28.6410357,77.2125335,Internet,cafe
1241932078,28.6334431,77.2084285,Bangla Foods,restaurant
1268299078,28.6439598,77.218478,Pre-paid Auto / Taxi,car_rental
1393281031,28.6342661,77.2191465,McDonald's,fast_food
1556466158,28.6253844,77.2181175,Spice Route,restaurant
1563325267,28.6297269,77.2320267,Nathus Sweets,restaurant
1563325307,28.629465,77.2318985,Benagali Sweet House,restaurant
1669039157,28.6438105,77.1910019,Art Of Spices,fast_food
1940318525,28.6409278,77.2137181,Club India Restaurant,restaurant
1940318533,28.6407272,77.2111472,Madan Café,cafe
1940318549,28.6410117,77.2137916,New Mt. Everest Restaurant,restaurant
1940318556,28.641343,77.2134623,,place_of_worship
1966254710,28.6168137,77.225608,,atm
1966254717,28.6169212,77.225998,Andhra Bhawan Canteen,restaurant
2106104833,28.6349295,77.2194616,Kathi Rolls,fast_food
2106114484,28.6461911,77.2400153,Moti Mahal,restaurant
2209543836,28.6332767,77.2238762,mohini bar,bar
2323525287,28.6277103,77.2169307,,toilets
2327524028,28.6323764,77.2172154,Berco's,restaurant
2327524039,28.633114,77.2179689,KFC,fast_food
2327524046,28.6272942,77.2195527,,atm
2327524049,28.6278063,77.2195823,,atm
2327524052,28.6282898,77.2196177,,atm
2327524066,28.6323321,77.2207958,,toilets
2327524069,28.6335073,77.2205603,,toilets
2410180164,28.6261056,77.2197715,,atm
2410180165,28.6347165,77.2195254,,atm
2410180166,28.6321974,77.2177075,Starbucks,cafe
2416119663,28.6146227,77.2403278,Ram Service Station,fuel
2446009483,28.6356162,77.1855851,,atm
2446010483,28.6397954,77.1856155,Swami Dayanand Govt. Sarvodaya Vidyalaya,school
2446010582,28.6403133,77.1858677,GD Salwan Public School,school
2569698442,28.641178,77.2106033,,atm
2591114289,28.6306895,77.2160507,Indian Coffee House,cafe
2592537225,28.6411417,77.2137445,Sayam Roof Top Restaurant,restaurant
2592537522,28.6408956,77.2185643,,toilets
2654011278,28.6337158,77.2178321,Indian Oil Petrol Pump,fuel
2657888901,28.6449997,77.2231206,,toilets
2699334246,28.639534,77.2097862,Sri Ramakrishna Temple,place_of_worship
2709534496,28.6337495,77.2230833,Keshav Restaurant,restaurant
2714555477,28.6463013,77.2153689,Firoz Shah's Mosque,place_of_worship
2833952243,28.6327513,77.1989712,Lakshmi Narayan Temple,place_of_worship
2833952245,28.6350118,77.2002755,M B Boys School,school
2833952246,28.6362148,77.2008393,Raisina Bengali School,school
2929538602,28.6385154,77.2405687,,place_of_worship
2962182562,28.6326963,77.236735,,library
2962182565,28.632898,77.2363296,,arts_centre
2967264855,28.6378691,77.2141735,,baby_hatch
2967264861,28.6388803,77.2137619,,community_centre
3085540679,28.6168699,77.225769,Andhra Bank,bank
3093873338,28.6454365,77.2251207,R D Jindal Charitable Clinic,clinic
3185191993,28.6413641,77.2152163,Yes Bank,atm
3242109311,28.640973,77.2137407,The exotic rooftop restaurant,restaurant
3242109751,28.6318106,77.2163806,Madras Coffee House,cafe
3250376814,28.6414451,77.2132453,쉼터,restaurant
3250377461,28.6398522,77.2130306,Pahar Ganj 110055,post_office
3269421783,28.6412802,77.2147522,Citibank,atm
3269429079,28.6403009,77.2131013,Tadka,restaurant
3269441162,28.6405917,77.2108939,Subway,fast_food
3269454412,28.6415015,77.2160786,The Gem Bar,bar
3424259566,28.6292249,77.2322767,Dr. Gandhi,doctors
3424264696,28.6293653,77.2319405,Dr. Kundan Lal,doctors
3704734413,28.6310191,77.2197896,Nando's,restaurant
3813668638,28.6319496,77.2217935,Federal Bank,bank
